,j,pop_2020,pop_2021,lim_2020,lim_2021,lico_2020,lico_2021,vismin_2020,vismin_2021,immig_2020,immig_2021,nocar_2020,nocar_2021,pop_2020_p,pop_2021_p,lim_2020_p,lim_2021_p,lico_2020_p,lico_2021_p,immig_2020_p,immig_2021_p,vismin_2020_p,vismin_2021_p,nocar_2020_p,nocar_2021_p
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1147.0,1184.0,394.47908320960687,406.3774234585695,313.18276071105964,322.7781963957069,824.6202343794946,834.5994874915278,48.654745534055344,51.34146752575659,635.019508174838,645.9302479729771,0.0004199048825748992,0.0004334502013676379,0.0007279689295052616,0.0007499260430319231,0.0006694299501128828,0.0006899402490102447,0.00017273669731975497,0.0001822752423962674,0.0005950585478066467,0.0006022597291716782,0.0009026004074863788,0.000918108652604837
4,4,9617.0,10198.0,2857.995876823062,3075.2089753158375,2514.5927928164147,2706.0281640106346,5720.741283026731,5983.08525907485,867.7505578486195,903.6506179759089,5172.219169772866,5323.344811663509,0.003520684617020755,0.003733382731036462,0.0052741255177675495,0.005674969044115655,0.0053749565398408024,0.0057841507454778765,0.003080734752897434,0.0032081890793336514,0.004128174228973382,0.004317485646404806,0.0073516593902190775,0.007566465493332651
5,5,29706.0,35954.0,7795.837518890788,10171.88027589052,7315.399462080688,9335.933969590034,13100.400992241282,17248.35350597602,2603.1970201884455,3668.6802277085835,14735.940161347356,17097.236489054016,0.010875060542083658,0.01316238896957099,0.014386383802784281,0.018771116418259248,0.01563670837385127,0.019955612490707323,0.009242010225400105,0.013024746077710038,0.009453449315361231,0.012446675161985327,0.02094528659844728,0.024301572508009153
6,6,80407.0,89989.0,23907.357018147744,26961.740639792468,21830.141307139795,24394.84405161608,40257.883876833555,46287.088972852696,10114.705805926422,11612.139996224083,42021.50224370856,44672.59693881088,0.029436174274803766,0.03294404575242599,0.0441184687263978,0.04975500680911702,0.0466620524482774,0.052144119297650136,0.035909773159819754,0.041226044648787916,0.02905070348600324,0.033401469910702065,0.059728283241840735,0.06349648110234726
7,7,123828.0,146756.0,35575.50380670687,42593.808969852,32511.685222600274,38220.59197245519,61520.468263257724,75184.79170819292,15388.188622683118,18941.987017907395,61139.74196342619,67096.65684278769,0.045332155012628265,0.053725859587761035,0.06565078485800957,0.07860231591255037,0.06949391392820196,0.08169673490109826,0.05463197579679458,0.06724886220721912,0.044394108922958725,0.05425449328767405,0.08690245779757474,0.09536946350095386
8,8,163600.0,195638.0,46208.868102264176,55567.86300381069,41909.208659330354,49580.56364714273,80614.17258433849,100072.68002065108,19456.890173056563,23675.086578348386,76145.62007119847,84602.44232176652,0.059892274445731045,0.07162105616145434,0.08527352064489858,0.10254454410269723,0.08958117425872471,0.1059787396136306,0.06907689911263741,0.08405256711168532,0.05817241739983152,0.07221397337286663,0.10823142725505647,0.12025173704261183
9,9,201572.0,246492.0,55296.633498603274,68232.46180781203,50329.131178009615,60944.44580300765,97339.43087082672,124327.80498376286,23098.002492008298,28712.36092594954,91509.62744695156,103415.25990863156,0.07379343242405195,0.09023818161783091,0.1020440190787857,0.1259157057849599,0.1075788070110397,0.13026910300214353,0.08200377211633585,0.10193616972325616,0.0702416190671151,0.08971684176692037,0.13006943244931635,0.14699179242874671
10,10,242351.0,292524.0,64665.73248304057,78282.21929247807,58767.55304536487,69967.99314098954,117656.40148860602,146831.761049451,27555.23983571026,33741.309862107744,104920.81043123287,117961.2255773624,0.08872220418213549,0.10709002255478624,0.11933368854018428,0.14446145766203092,0.12561598222742001,0.14955698727326885,0.0978280961256445,0.11979021501085586,0.0849026551751404,0.105956039955441,0.14913174324552875,0.16766705416616173
11,11,305442.0,360490.0,81418.6864158633,96012.27619597148,73447.46257971988,85501.08541426799,151411.57090824397,184005.09488281392,36090.29005911226,42627.82756870966,127749.20194508614,142895.68342537983,0.11181916926193755,0.1319716749079559,0.1502494720623432,0.17718038014351864,0.15699437318652965,0.18275906123797542,0.1281296909827539,0.15133960865093796,0.10926090065395952,0.13278088504871913,0.1815794322021796,0.20310825167953953
12,12,368683.0,437040.0,95618.27746957628,112857.31217157582,85927.24594673795,100155.32051198384,183709.31367545287,224029.92409492732,42655.00638557236,50238.96074922148,148567.81644622717,164823.82015013328,0.13497104779630476,0.15999584122104094,0.17645329766110487,0.20826609122068246,0.18366998182422906,0.21408257294128086,0.15143610034995703,0.1783610634757749,0.13256744481479957,0.1616634127314057,0.21117047576876258,0.23427634161754207
13,13,451274.0,537395.0,112832.7130716461,136121.07855415688,100816.22022765245,119890.42584108951,225461.36684552714,275807.7868154418,51810.61279011306,61805.402513433924,173599.77566087182,194998.08148538152,0.1652067619695772,0.19673477277361637,0.20822069621444556,0.2511968823085066,0.21549524988009178,0.25626647395147834,0.18394082717404445,0.21942486780073836,0.16269636366921678,0.19902710878742794,0.2467502592186593,0.2771652611329043
14,14,533739.0,639486.0,131996.3469067595,157442.65263858228,117459.22023302727,138452.36232308485,265737.7673621744,329419.8219633371,60790.28538673834,73003.24019648538,200771.3398050746,225140.87285027697,0.19539634884101492,0.2341092360403592,0.24358513149672312,0.2905435653704294,0.25106975799807113,0.2959427198116542,0.2158209443204402,0.2591800340699593,0.1917604290451403,0.23771437166313353,0.28537122212275845,0.3200094500412563
15,15,640382.0,747295.0,155488.76089572394,180199.7630386741,138090.27522174365,158492.97352988418,318305.19646175054,380941.43333757465,73081.57082205426,84480.00792146788,234048.64863490008,258529.32241124733,0.23443725240896174,0.2735770001951258,0.28693786727144566,0.3325393770666995,0.2951687565525111,0.33877964139041467,0.25945812767442156,0.2999254727925159,0.22969388825192358,0.27489315283636273,0.33267073359159477,0.3674669340887745
16,16,741496.0,868596.0,177312.95162972258,206972.623613929,157053.97973712595,181772.400655609,368124.0629445606,443816.28645297297,83881.62429619802,97378.28359735021,262183.9248023166,291306.48153370275,0.27145404604163687,0.31798404654317974,0.3272120755683299,0.3819458259313304,0.3357037838920269,0.3885395506014076,0.29780105902722365,0.34571762558082253,0.26564394272147146,0.32026460654142297,0.37266149199591775,0.41405554561853036
17,17,841308.0,994727.0,197599.24262887143,233097.93375043958,174710.20377216028,204221.45220475766,420392.8411213007,511782.70164321584,94868.80336555447,111381.4302598735,289490.12339976773,324392.09954214137,0.3079941908886864,0.3641593061282317,0.3646482544960621,0.43015728976441564,0.3734440641939162,0.4365245272473377,0.3368083337435813,0.395432350835636,0.30336189086384624,0.3693102091552887,0.41147382085145506,0.46108259268073376
18,18,951306.0,1134660.0,218650.15701574602,260600.38760113576,193121.9801945366,227611.00383311522,474068.08424726827,584680.4495572017,105944.24549976799,124549.53992084134,318428.36093515414,359526.88035597303,0.3482633253904072,0.4153873357126723,0.4034954640531208,0.48091012493519963,0.41279934206405494,0.4865198282153235,0.37612896474515595,0.44218248276650496,0.34209476558131047,0.4219143367325275,0.45260588790629264,0.5110222670864178
19,19,1072677.0,1263388.0,242192.33460967417,285164.018972871,213075.66208447405,248519.63247570454,536035.2021736728,650227.3330120014,117979.23419209706,136629.4621440399,350057.65452645964,393232.81000973337,0.3926959980172582,0.4625133302410957,0.4469400332349255,0.5262396777443218,0.4554504517286536,0.5312121420494518,0.4188562296023615,0.4850692730643661,0.38681118371868045,0.46921396831531814,0.49756295287280455,0.5589310091778734
20,20,1203302.0,1424281.0,268315.6466522235,318873.838640513,235432.59425381475,276842.83459082874,602674.2027205225,740040.5672612544,131835.49091710127,154322.53972866948,386301.71019022283,435672.7048215532,0.44051646470108224,0.5214145998767742,0.4951478097994483,0.5884475421958562,0.5032385226710602,0.5917531492744869,0.46804945829197775,0.5478841897563447,0.43489890366473954,0.5340245690234053,0.5490793220393163,0.619253984862395
21,21,1345751.0,1563333.0,300152.68151651294,345798.6968701377,262445.8498437245,299469.8175986009,685947.9480044255,815434.9486860716,148726.66584297884,168088.6898647797,420204.38075591356,469290.4417975096,0.4926655759634291,0.5723201044380688,0.5538996503285029,0.6381344864642955,0.5609795116734003,0.6401184554353602,0.52801741698789,0.596757517182447,0.4949905093192467,0.5884303054496903,0.5972677066063046,0.6670373721483709
22,22,1469975.0,1704606.0,322349.5524827871,373280.3483237107,281489.7913708374,322473.521726992,746300.0540696296,892345.9847408333,160854.42678458072,182759.11203623025,450444.4774845126,502064.46108368825,0.5381427024961094,0.6240386942166248,0.5948616001084843,0.6888489330375355,0.6016860460864156,0.6892890051556487,0.5710740468796139,0.6488412398772692,0.5385415102466696,0.6439304830065621,0.6402502028576577,0.7136215207955438
23,23,1599923.0,1822519.0,345318.9266286551,392444.9624514967,300881.66798263363,338833.80891029455,813075.7087879167,953422.1357844342,173989.7705481718,194479.8013317093,480127.66197980935,529083.7001953984,0.585715326454996,0.6672054286709004,0.6372491218303614,0.7242151773450257,0.6431362937416707,0.7242592129923916,0.6177078515573967,0.6904526620929082,0.5867278419286733,0.6880039658419334,0.682441118374495,0.7520259728135548
24,24,1732062.0,1946507.0,372240.33235049306,418729.28590817127,323312.39803136233,360938.21358246723,884617.7111454271,1020698.3537037369,189096.37791399812,209622.5125837058,508221.5750208592,556488.8822950931,0.6340900529402311,0.7125961580350648,0.6869296948651801,0.7727200832423011,0.6910821080752044,0.7715075049589455,0.6713401424148765,0.7442131309110164,0.6383536428187933,0.7365515115701895,0.722373084294126,0.7909789942750819
25,25,1852484.0,2054821.0,396188.3766452627,437576.58414247754,343221.4001615972,376847.31070302957,949754.2872094056,1071326.8692183946,201627.7983491317,219531.70232038441,533265.4221838478,578338.1250269045,0.6781753064445332,0.7522487974868675,0.7311232476060862,0.807500755028653,0.7336377144967737,0.8055132914446987,0.7158298659748353,0.7793932698561601,0.685357190325597,0.7730858211392826,0.7579697649682517,0.8220349463192701
26,26,1984277.0,2162591.0,421214.76629968075,456019.95420936606,364168.0375400566,392691.9767535333,1024957.9321928938,1122943.860390691,215280.87371714046,230492.40629963783,559949.5340486116,601927.187902125,0.7264233658945712,0.7917022841434471,0.7773067712998579,0.8415360206118683,0.7784112722221673,0.8393813561480745,0.7643017492709222,0.8183065512821317,0.7396252884244932,0.8103334298306307,0.7958978757309793,0.855563833997999
27,27,2116414.0,2254259.0,444004.3152695441,471324.96264513355,383779.84931514034,405986.0036895888,1091467.3576340515,1170138.1844810853,228747.74655468753,238995.59760279616,586401.6432830989,620144.0615217227,0.7747973602004121,0.8252609944973057,0.8193624449049499,0.8697797756835017,0.8203316325523773,0.8677974150920517,0.8121125663176331,0.8484950388852074,0.7876195049965015,0.8443895744498302,0.8334962239180224,0.8814568299461639
28,28,2228274.0,2331607.0,463051.8998696305,483640.2210609689,400470.0220740472,417042.4916423573,1147373.9060062848,1209256.1093181567,240425.9691854416,247235.14272095158,608023.7179304447,634374.8560614634,0.8157481537181351,0.8535773003886774,0.8545127237439881,0.8925062670670579,0.8560069727020174,0.8914307216056057,0.8535732210936265,0.8777475156067447,0.8279625236374354,0.8726176660928554,0.8642292850856832,0.901684115541441
29,29,2310738.0,2432045.0,475924.6326834842,500684.94056475506,411306.0727319379,431622.1311391881,1190647.228726074,1259639.6190193312,248156.2519297352,257989.72197410153,623793.1375700497,652650.7244943372,0.8459373744998757,0.8903466173861122,0.8782679744661893,0.9239604727246382,0.8791690932314579,0.9225947847835012,0.8810176871151895,0.9159290019316993,0.859189213818986,0.9089751757272667,0.8866435328517728,0.9276609652008969
30,30,2400019.0,2500271.0,490577.1716202112,511568.6422791672,424405.4732851694,441624.0689725773,1235644.561296799,1292524.3869197844,257006.07737943987,265078.3176854297,641800.7600588104,667119.714441209,0.8786222287467541,0.9153234530605282,0.905307666906956,0.9440451794260206,0.9071691371641083,0.9439739843589696,0.9124368139292083,0.9410953160983773,0.891659975823579,0.9327053261843762,0.9122391046207918,0.9482268156257111
31,31,2473094.0,2549704.0,504589.4329837682,518695.2794232144,435975.65304865345,447971.80773477437,1277246.4030760052,1315322.009837674,263105.9780522408,269037.36527186027,655497.1668399958,675559.00372534,0.9053742333624131,0.9334203650573242,0.9311657956112261,0.9571966255572413,0.9319004628739934,0.9575423124280475,0.9340930097356517,0.9551509400073153,0.9216804998455784,0.9491564388558605,0.9317068251910289,0.9602222045054096
32,32,2537190.0,2593500.0,516733.5791684384,527265.4738087952,446056.9769465955,455161.3256554603,1310442.6674303138,1338513.181118688,269216.1914651041,273564.6475241073,667047.3795722028,683931.9107776119,0.9288391185878017,0.9494536294315615,0.9535765176852082,0.973012002083069,0.9534493506184804,0.9729099482840352,0.955785818387135,0.9712239412223791,0.9456354308983491,0.9658915420331428,0.9481240007020749,0.9721232393869166
33,33,2584080.0,2618577.0,523887.3521817494,530776.3220953848,452241.98972537665,458116.7786989916,1330177.9243173122,1348600.996725844,272782.3883853618,275236.72297474014,677827.3321642333,688160.9162980086,0.9460050644848697,0.9586340607657645,0.9667780401589778,0.979490896852468,0.9666698509632198,0.9792272461423213,0.9684467227087089,0.9771602335170247,0.9598766934991937,0.9731710637517098,0.9634463482472966,0.9781342391386302
34,34,2623856.0,2642956.0,529595.9295641041,533656.637327281,457230.1298083764,460599.96331048355,1347188.6453192944,1359316.2535407615,275674.0113912111,277239.67374790215,684819.2572833953,691705.9100197246,0.9605666482767609,0.9675589614913909,0.9773126087658071,0.984806210351326,0.9773320290452354,0.9845350675141553,0.9787127183981658,0.9842712171970831,0.9721518894191682,0.9809033566228131,0.9733844909034309,0.9831730021003446
35,35,2647148.0,2659283.0,533508.1091121761,535337.9584596598,460462.7628470196,462087.107651748,1358104.6955146552,1364481.6014148644,277158.7136392681,278147.7240681233,689845.6984769751,694072.4289457537,0.9690936095016385,0.9735361079759596,0.9845321174263691,0.9879089085601486,0.9842418007353466,0.9877138470865782,0.9839837882602632,0.9874950263362217,0.9800290778584304,0.9846307504906009,0.9805289452251119,0.9865367112769295
36,36,2670989.0,2672307.0,536570.7905682126,536467.3725403793,463173.28432034905,463109.5696727755,1367046.5931509468,1368197.322207608,278919.9390714185,278712.53662184294,694761.7276523369,695563.906699512,0.9778215539702244,0.9783040601910037,0.9901839682743946,0.9899931213721943,0.9900355559553056,0.9898993655301054,0.9902365856194082,0.989500254275724,0.9864816876783813,0.987312071329943,0.9875164627419357,0.98865665942178
37,37,2683971.0,2683856.0,537689.9421600394,537712.7294459015,464138.0035536911,464201.8511846686,1371024.5796176507,1370891.8567902644,279513.2085862577,279246.9183714204,696812.6115404958,697285.8529316444,0.9825741304179902,0.9825320301028236,0.9922492427615172,0.9922912942587989,0.9920976488584489,0.992234123536439,0.9923428429944898,0.9913974451358705,0.9893522634311732,0.9892564886131022,0.990431536388224,0.9911041895382318
38,38,2694330.0,2697911.0,538720.0979439816,539309.7594962566,465060.98953584494,465558.209149694,1374467.77004666,1376516.7555839184,280097.640688848,280272.13240752526,698504.1084367639,698948.882407092,0.98636645359026,0.9876774207955789,0.9941502850098373,0.9952384422968789,0.9940705366974388,0.9951333464783425,0.9944177253127711,0.9950372152076028,0.9918369222002485,0.9933155014388423,0.9928357866012949,0.9934679768910254
39,39,2701544.0,2707834.0,539257.1690010815,540285.026995012,465550.4249682828,466405.02359594835,1376574.620963334,1380067.5043517288,280444.98672662646,280817.4330092675,699411.7075520394,700292.3969268278,0.9890074246651469,0.9913101288599124,0.9951413921664555,0.9970381940892267,0.9951167077458594,0.9969434172217763,0.9956508919182969,0.9969731707646101,0.993357257979863,0.9958777759469247,0.9941258246564036,0.995377613898025
40,40,2708704.0,2714820.0,539888.8539555226,540828.7474427941,466118.1698413224,466904.7993020961,1378231.8478100875,1381890.2948508614,280726.0018079984,281078.5538723715,700745.3034273498,701430.7861265218,0.9916286268963904,0.9938676314838604,0.9963070991447004,0.9980415719847077,0.9963302656734185,0.9980116906646519,0.9966485667909207,0.9979002161123717,0.9945531381677379,0.9971931293934548,0.9960213635571485,0.9969956910473005
41,41,2718146.0,2720581.0,540926.0143484581,541194.082352609,467013.9172875297,467255.6972506561,1380444.4335753203,1383234.8654280014,281187.80819706025,281305.76774895674,701979.3655088946,702359.8813529675,0.9950852458164184,0.9959766742288595,0.9982210676492594,0.9987157584613263,0.9982449309853496,0.9987617370454486,0.9982880966984786,0.9987068830509354,0.9961497738279674,0.9981633920449147,0.9977754276816779,0.998316283122328
42,42,2722852.0,2723947.0,541271.866335063,541388.7113809573,467304.4412982789,467411.19743779,1382587.838698141,1383982.8338804264,281389.56437137566,281411.7915718241,702608.4662654453,702665.4389697107,0.996808063930976,0.9972089321493016,0.998859300476226,0.9990749255032504,0.9988659277272548,0.9990941195887254,0.9990043823317212,0.9990832945355357,0.9976964876806863,0.9987031374968803,0.9986696153277312,0.9987505948652471
43,43,2725398.0,2727537.0,541446.2595320138,541595.1512200049,467456.6094071242,467583.15344964236,1383990.711611232,1384717.2037995819,281477.49741282326,281522.0297571239,702838.119076217,703122.2499047072,0.9977401282997952,0.9985231941618944,0.9991811244570169,0.999455888132285,0.9991911879340485,0.9994616765518691,0.9993165669500603,0.9994746680765582,0.9987088221876723,0.9992330700396761,0.9989960379303668,0.9993998941871799
44,44,2727605.0,2728876.0,541604.8061475533,541690.9230081518,467600.56872664683,467672.7810197584,1384532.9508399842,1385074.8966523781,281539.32417747163,281568.0316474342,703116.7424158879,703165.7616010726,0.9985480882612973,0.9990133882663127,0.9994737052677708,0.9996326247174719,0.999498901806509,0.9996532559978619,0.9995360676588627,0.9996379864644245,0.9991001102916659,0.9994911866619367,0.999392065984127,0.999461740594045
45,45,2729387.0,2729063.0,541714.04687722,541702.7214078396,467698.9072967098,467683.06922930444,1385182.1091172886,1385117.1821854436,281621.64893422945,281579.8300471219,703154.4105827308,703179.2837512224,0.9992004601015313,0.9990818470396706,0.9996752973430385,0.999654397401389,0.9997091010649292,0.9996752471048677,0.9998283414429285,0.9996798737782587,0.9995685528130649,0.9995217005480265,0.9994456065483207,0.9994809606307181
46,46,2730256.0,2730273.0,541771.9141822782,541771.7141969599,467746.2362642454,467747.1807577417,1385426.8432714294,1385408.55711961,281652.694420782,281650.40546315257,703207.0028279885,703219.2150041439,0.9995185920483122,0.9995248155731629,0.999782085261358,0.9997817162098561,0.99981026700492,0.999812285865194,0.9999385608008741,0.9999304344202535,0.9997451567142186,0.9997319611479532,0.9995203598139907,0.9995377178872975
47,47,2730486.0,2730476.0,541784.5817454199,541783.2372076047,467758.8812278608,467757.3686228188,1385466.7589934769,1385463.733783393,281662.2974607011,281662.1293934742,703227.456129917,703226.3722402218,0.9996027926786454,0.9995991317816744,0.9998054618934081,0.9998029806927674,0.9998372956872875,0.9998340624853209,0.9999726540302528,0.9999720573489347,0.9997739605085059,0.9997717774707338,0.9995494316116558,0.9995478909987016
48,48,2730782.0,2730782.0,541798.0159360401,541798.0159360401,467767.837354941,467767.837354941,1385650.3595986206,1385650.3595986206,281662.2974607011,281662.2974607011,703260.3627043939,703260.3627043939,0.9997111552289872,0.9997111552289872,0.9998302532544228,0.9998302532544228,0.9998564394603703,0.9998564394603703,0.9999726540302528,0.9999726540302528,0.9999064495075849,0.9999064495075849,0.9995962041708442,0.9995962041708442
49,49,2730782.0,2730782.0,541798.0159360401,541798.0159360401,467767.837354941,467767.837354941,1385650.3595986206,1385650.3595986206,281662.2974607011,281662.2974607011,703260.3627043939,703260.3627043939,0.9997111552289872,0.9997111552289872,0.9998302532544228,0.9998302532544228,0.9998564394603703,0.9998564394603703,0.9999726540302528,0.9999726540302528,0.9999064495075849,0.9999064495075849,0.9995962041708442,0.9995962041708442
50,50,2730782.0,2730782.0,541798.0159360401,541798.0159360401,467767.837354941,467767.837354941,1385650.3595986206,1385650.3595986206,281662.2974607011,281662.2974607011,703260.3627043939,703260.3627043939,0.9997111552289872,0.9997111552289872,0.9998302532544228,0.9998302532544228,0.9998564394603703,0.9998564394603703,0.9999726540302528,0.9999726540302528,0.9999064495075849,0.9999064495075849,0.9995962041708442,0.9995962041708442
51,51,2730782.0,2730787.0,541798.0159360401,541798.4693822311,467767.837354941,467768.0791929096,1385650.3595986206,1385654.1080871332,281662.2974607011,281662.7206771461,703260.3627043939,703260.4476202421,0.9997111552289872,0.9997129856774728,0.9998302532544228,0.9998310900408389,0.9998564394603703,0.9998569563904174,0.9999726540302528,0.9999741565560633,0.9999064495075849,0.9999091544741111,0.9995962041708442,0.9995963248680483
52,52,2730891.0,2730896.0,541810.4972793238,541810.9507255148,467778.3485489708,467778.5903869394,1385702.2775090684,1385706.025997581,281662.2974607011,281662.7206771461,703276.3115262317,703276.3964420799,0.9997510590059713,0.9997528894544568,0.9998532862376549,0.9998541230240711,0.9998789071979911,0.9998794241280382,0.9999726540302528,0.9999741565560633,0.9999439142642186,0.9999466192307447,0.9996188734162837,0.9996189941134879
53,53,2730891.0,2730896.0,541810.4972793238,541810.9507255148,467778.3485489708,467778.5903869394,1385702.2775090684,1385706.025997581,281662.2974607011,281662.7206771461,703276.3115262317,703276.3964420799,0.9997510590059713,0.9997528894544568,0.9998532862376549,0.9998541230240711,0.9998789071979911,0.9998794241280382,0.9999726540302528,0.9999741565560633,0.9999439142642186,0.9999466192307447,0.9996188734162837,0.9996189941134879
54,54,2730891.0,2730896.0,541810.4972793238,541810.9507255148,467778.3485489708,467778.5903869394,1385702.2775090684,1385706.025997581,281662.2974607011,281662.7206771461,703276.3115262317,703276.3964420799,0.9997510590059713,0.9997528894544568,0.9998532862376549,0.9998541230240711,0.9998789071979911,0.9998794241280382,0.9999726540302528,0.9999741565560633,0.9999439142642186,0.9999466192307447,0.9996188734162837,0.9996189941134879
55,55,2730896.0,2730896.0,541810.9507255148,541810.9507255148,467778.5903869394,467778.5903869394,1385706.025997581,1385706.025997581,281662.7206771461,281662.7206771461,703276.3964420799,703276.3964420799,0.9997528894544568,0.9997528894544568,0.9998541230240711,0.9998541230240711,0.9998794241280382,0.9998794241280382,0.9999741565560633,0.9999741565560633,0.9999466192307447,0.9999466192307447,0.9996189941134879,0.9996189941134879
56,56,2730896.0,2730896.0,541810.9507255148,541810.9507255148,467778.5903869394,467778.5903869394,1385706.025997581,1385706.025997581,281662.7206771461,281662.7206771461,703276.3964420799,703276.3964420799,0.9997528894544568,0.9997528894544568,0.9998541230240711,0.9998541230240711,0.9998794241280382,0.9998794241280382,0.9999741565560633,0.9999741565560633,0.9999466192307447,0.9999466192307447,0.9996189941134879,0.9996189941134879
57,57,2730896.0,2730906.0,541810.9507255148,541811.8576178969,467778.5903869394,467779.0740628765,1385706.025997581,1385713.5229746064,281662.7206771461,281663.56711003603,703276.3964420799,703276.5662737763,0.9997528894544568,0.9997565503514279,0.9998541230240711,0.9998557965969033,0.9998794241280382,0.9998804579881323,0.9999741565560633,0.9999771616076837,0.9999466192307447,0.9999520291637972,0.9996189941134879,0.9996192355078961
58,58,2730896.0,2730906.0,541810.9507255148,541811.8576178969,467778.5903869394,467779.0740628765,1385706.025997581,1385713.5229746064,281662.7206771461,281663.56711003603,703276.3964420799,703276.5662737763,0.9997528894544568,0.9997565503514279,0.9998541230240711,0.9998557965969033,0.9998794241280382,0.9998804579881323,0.9999741565560633,0.9999771616076837,0.9999466192307447,0.9999520291637972,0.9996189941134879,0.9996192355078961
59,59,2730896.0,2730906.0,541810.9507255148,541811.8576178969,467778.5903869394,467779.0740628765,1385706.025997581,1385713.5229746064,281662.7206771461,281663.56711003603,703276.3964420799,703276.5662737763,0.9997528894544568,0.9997565503514279,0.9998541230240711,0.9998557965969033,0.9998794241280382,0.9998804579881323,0.9999741565560633,0.9999771616076837,0.9999466192307447,0.9999520291637972,0.9996189941134879,0.9996192355078961
60,60,2730956.0,2730956.0,541817.9060049937,541817.9060049937,467783.50954674755,467783.50954674755,1385714.3294262192,1385714.3294262192,281663.56711003603,281663.56711003603,703299.1973454803,703299.1973454803,0.9997748548362828,0.9997748548362828,0.9998669582479706,0.9998669582479706,0.9998899388603865,0.9998899388603865,0.9999771616076837,0.9999771616076837,0.9999526111115904,0.9999526111115904,0.9996514027315465,0.9996514027315465
61,61,2730991.0,2730991.0,541821.0801283311,541821.0801283311,467785.20241252746,467785.20241252746,1385740.568845808,1385740.568845808,281666.5296251509,281666.5296251509,703299.7917564176,703299.7917564176,0.9997876679756814,0.9997876679756814,0.9998728157528837,0.9998728157528837,0.9998935573707157,0.9998935573707157,0.9999876792883556,0.9999876792883556,0.9999715458772738,0.9999715458772738,0.9996522476119751,0.9996522476119751
62,62,2730991.0,2731027.0,541821.0801283311,541824.3449409066,467785.20241252746,467786.9436459011,1385740.568845808,1385767.5579630996,281666.5296251509,281669.5767835548,703299.7917564176,703300.4031505246,0.9997876679756814,0.999800847204777,0.9998728157528837,0.99987884061508,0.9998935573707157,0.9998972792670545,0.9999876792883556,0.9999984974741898,0.9999715458772738,0.9999910216362626,0.9996522476119751,0.9996531166318445
63,63,2731571.0,2731571.0,541890.0000000009,541890.0000000009,467834.99999999866,467834.99999999866,1385779.9999999995,1385779.9999999995,281669.99999999977,281669.99999999977,703544.4510193412,703544.4510193412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,64,2731571.0,2731571.0,541890.0000000009,541890.0000000009,467834.99999999866,467834.99999999866,1385779.9999999995,1385779.9999999995,281669.99999999977,281669.99999999977,703544.4510193412,703544.4510193412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,65,2731571.0,2731571.0,541890.0000000009,541890.0000000009,467834.99999999866,467834.99999999866,1385779.9999999995,1385779.9999999995,281669.99999999977,281669.99999999977,703544.4510193412,703544.4510193412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
